City,Sentiment,Month,Language,Count,Latitude,Longitude
Avenches,NEGATIVE,october,fr,10,46.879575,7.040941
Avenches,POSITIVE,september,en,3,46.879575,7.040941
Avenches,NEGATIVE,september,fr,28,46.879575,7.040941
Avry,POSITIVE,august,fr,1,46.787867,7.060304
Avry,POSITIVE,july,fr,1,46.787867,7.060304
Avry,POSITIVE,october,fr,6,46.787867,7.060304
Avry,POSITIVE,september,fr,1,46.787867,7.060304
Ayent,NEGATIVE,august,en,1,46.3190236,7.4166422961500595
Ayent,POSITIVE,august,fr,7,46.3190236,7.4166422961500595
Ayent,NEGATIVE,july,en,1,46.3190236,7.4166422961500595
Ayent,POSITIVE,july,fr,1,46.3190236,7.4166422961500595
Ayent,POSITIVE,october,fr,24,46.3190236,7.4166422961500595
Ayent,POSITIVE,september,fr,8,46.3190236,7.4166422961500595
Baar,POSITIVE,august,de,67,47.19483020000001,8.525613400000001
Baar,POSITIVE,august,en,157,47.19483020000001,8.525613400000001
Baar,POSITIVE,august,fr,4,47.19483020000001,8.525613400000001
Baar,POSITIVE,july,de,7,47.19483020000001,8.525613400000001
Baar,POSITIVE,july,en,32,47.19483020000001,8.525613400000001
Baar,POSITIVE,may,en,4,47.19483020000001,8.525613400000001
Baar,POSITIVE,october,de,61,47.19483020000001,8.525613400000001
Baar,POSITIVE,october,en,124,47.19483020000001,8.525613400000001
Baar,POSITIVE,september,de,53,47.19483020000001,8.525613400000001
Baar,POSITIVE,september,en,116,47.19483020000001,8.525613400000001
Baar,POSITIVE,september,fr,2,47.19483020000001,8.525613400000001
Baarerstrasse,POSITIVE,october,de,1,47.170773,8.515984300000001
Baarerstrasse,POSITIVE,october,en,1,47.170773,8.515984300000001
Baarerstrasse,POSITIVE,september,de,1,47.170773,8.515984300000001
Bachenbülach,POSITIVE,august,de,6,47.5048139,8.5474099
Bachenbülach,POSITIVE,august,en,1,47.5048139,8.5474099
Bachenbülach,POSITIVE,october,de,1,47.5048139,8.5474099
Bachenbülach,POSITIVE,october,en,1,47.5048139,8.5474099
Bachenbülach,POSITIVE,september,de,3,47.5048139,8.5474099
Baden,POSITIVE,april,de,939,47.47368270000001,8.3086822
Baden,POSITIVE,april,en,126,47.47368270000001,8.3086822
Baden,POSITIVE,april,fr,9,47.47368270000001,8.3086822
Baden,POSITIVE,august,de,1303,47.47368270000001,8.3086822
Baden,POSITIVE,august,en,252,47.47368270000001,8.3086822
Baden,POSITIVE,august,fr,6,47.47368270000001,8.3086822
Baden,POSITIVE,february,de,699,47.47368270000001,8.3086822
Baden,POSITIVE,february,en,47,47.47368270000001,8.3086822
Baden,NEGATIVE,february,fr,6,47.47368270000001,8.3086822
Baden,POSITIVE,january,de,418,47.47368270000001,8.3086822
Baden,POSITIVE,january,en,24,47.47368270000001,8.3086822
Baden,POSITIVE,january,fr,8,47.47368270000001,8.3086822
Baden,POSITIVE,july,de,191,47.47368270000001,8.3086822
Baden,POSITIVE,july,en,145,47.47368270000001,8.3086822
Baden,POSITIVE,july,fr,2,47.47368270000001,8.3086822
Baden,POSITIVE,june,de,575,47.47368270000001,8.3086822
Baden,POSITIVE,june,en,88,47.47368270000001,8.3086822
Baden,NEGATIVE,june,fr,3,47.47368270000001,8.3086822
Baden,POSITIVE,march,de,771,47.47368270000001,8.3086822
Baden,POSITIVE,march,en,109,47.47368270000001,8.3086822
Baden,POSITIVE,march,fr,7,47.47368270000001,8.3086822
Baden,POSITIVE,may,de,911,47.47368270000001,8.3086822
Baden,POSITIVE,may,en,133,47.47368270000001,8.3086822
Baden,POSITIVE,may,fr,4,47.47368270000001,8.3086822
Baden,POSITIVE,october,de,1864,47.47368270000001,8.3086822
Baden,POSITIVE,october,en,291,47.47368270000001,8.3086822
Baden,POSITIVE,october,fr,34,47.47368270000001,8.3086822
Baden,POSITIVE,september,de,1501,47.47368270000001,8.3086822
Baden,POSITIVE,september,en,275,47.47368270000001,8.3086822
Baden,POSITIVE,september,fr,11,47.47368270000001,8.3086822
Bagnes,NEGATIVE,august,de,1,46.00998095,7.30700547338256
Bagnes,POSITIVE,august,en,6,46.00998095,7.30700547338256
Bagnes,NEGATIVE,august,fr,38,46.00998095,7.30700547338256
Bagnes,POSITIVE,july,en,2,46.00998095,7.30700547338256
Bagnes,NEGATIVE,july,fr,7,46.00998095,7.30700547338256
Bagnes,NEGATIVE,october,de,1,46.00998095,7.30700547338256
Bagnes,NEGATIVE,october,en,1,46.00998095,7.30700547338256
Bagnes,NEGATIVE,october,fr,73,46.00998095,7.30700547338256
Bagnes,POSITIVE,september,fr,34,46.00998095,7.30700547338256
Bahnhofplatz,POSITIVE,august,de,16,46.94908770000001,7.440560499999999
Bahnhofplatz,POSITIVE,august,en,1,46.94908770000001,7.440560499999999
Bahnhofplatz,POSITIVE,july,de,3,46.94908770000001,7.440560499999999
Bahnhofplatz,POSITIVE,october,de,8,46.94908770000001,7.440560499999999
Bahnhofplatz,POSITIVE,october,en,7,46.94908770000001,7.440560499999999
Bahnhofplatz,POSITIVE,september,de,9,46.94908770000001,7.440560499999999
Bahnhofplatz,POSITIVE,september,en,5,46.94908770000001,7.440560499999999
Balerna,POSITIVE,august,en,2,45.8491908,9.0070811
Balerna,POSITIVE,july,en,1,45.8491908,9.0070811
Balerna,POSITIVE,may,en,1,45.8491908,9.0070811
Balerna,POSITIVE,october,en,2,45.8491908,9.0070811
Balerna,POSITIVE,october,fr,2,45.8491908,9.0070811
Balerna,POSITIVE,september,en,1,45.8491908,9.0070811
Balerna,NEGATIVE,september,fr,1,45.8491908,9.0070811
Balgach,POSITIVE,august,de,23,47.4068832,9.6062727
Balgach,POSITIVE,august,en,4,47.4068832,9.6062727
Balgach,NEGATIVE,july,de,2,47.4068832,9.6062727
Balgach,NEGATIVE,may,de,2,47.4068832,9.6062727
Balgach,POSITIVE,october,de,74,47.4068832,9.6062727
Balgach,POSITIVE,october,en,2,47.4068832,9.6062727
Balgach,POSITIVE,september,de,34,47.4068832,9.6062727
Ballwil,NEGATIVE,august,de,9,47.1521716,8.3185717
Ballwil,NEGATIVE,october,de,1,47.1521716,8.3185717
Ballwil,NEGATIVE,september,de,5,47.1521716,8.3185717
Balsthal,NEGATIVE,august,de,1,47.3140365,7.694776400000001
Balsthal,POSITIVE,september,de,1,47.3140365,7.694776400000001
Balsthal,NEGATIVE,september,en,1,47.3140365,7.694776400000001
Baltschieder,NEGATIVE,august,de,2,46.3079079,7.8646512
Baltschieder,POSITIVE,october,de,4,46.3079079,7.8646512
Baltschieder,NEGATIVE,september,de,1,46.3079079,7.8646512
Basel,POSITIVE,april,de,8793,47.55810770000001,7.5878261
Basel,POSITIVE,april,en,1383,47.55810770000001,7.5878261
Basel,POSITIVE,april,fr,283,47.55810770000001,7.5878261
Basel,POSITIVE,august,de,10444,47.55810770000001,7.5878261
Basel,POSITIVE,august,en,8978,47.55810770000001,7.5878261
Basel,POSITIVE,august,fr,992,47.55810770000001,7.5878261
